Timestamp,DNI,DHI,GHI,ENTRY_TIME
2023-07-21 18:15:00+05:30,0.31,14.23,14.3,2023-07-21 20:56:00
2023-07-21 18:30:00+05:30,1.65,24.34,24.6,2023-07-21 18:54
2023-07-21 18:45:00+05:30,0.06,2.99,3.0,2023-07-21 20:59:00
2023-07-21 19:00:00+05:30,0.0,0.4,0.4,2023-07-21 19:18
2023-07-21 19:15:00+05:30,0.0,0.0,0.0,2023-07-21 19:36
2023-07-21 19:30:00+05:30,0.0,0.0,0.0,2023-07-21 19:42
2023-07-21 19:45:00+05:30,0.0,0.0,0.0,2023-07-21 20:06
2023-07-21 20:00:00+05:30,0.0,0.0,0.0,2023-07-21 20:12
2023-07-21 20:15:00+05:30,0.0,0.0,0.0,2023-07-21 20:36
2023-07-21 20:30:00+05:30,0.0,0.0,0.0,2023-07-21 20:42
2023-07-21 20:45:00+05:30,0.0,0.0,0.0,2023-07-21 21:06
2023-07-21 21:00:00+05:30,0.0,0.0,0.0,2023-07-21 21:12
2023-07-21 21:15:00+05:30,0.0,0.0,0.0,2023-07-21 21:36
2023-07-21 21:30:00+05:30,0.0,0.0,0.0,2023-07-21 21:42
2023-07-21 21:45:00+05:30,0.0,0.0,0.0,2023-07-21 22:06
2023-07-21 22:00:00+05:30,0.0,0.0,0.0,2023-07-21 22:12
2023-07-21 22:15:00+05:30,0.0,0.0,0.0,2023-07-21 22:36
2023-07-21 22:30:00+05:30,0.0,0.0,0.0,2023-07-21 22:42
2023-07-21 22:45:00+05:30,0.0,0.0,0.0,2023-07-21 23:06
2023-07-21 23:00:00+05:30,0.0,0.0,0.0,2023-07-21 23:12
2023-07-21 23:15:00+05:30,0.0,0.0,0.0,2023-07-21 23:36
2023-07-21 23:30:00+05:30,0.0,0.0,0.0,2023-07-21 23:42
2023-07-21 23:45:00+05:30,0.0,0.0,0.0,2023-07-22 00:06
2023-07-22 00:00:00+05:30,0.0,0.0,0.0,2023-07-22 00:12
2023-07-22 00:15:00+05:30,0.0,0.0,0.0,2023-07-22 00:36
2023-07-22 00:30:00+05:30,0.0,0.0,0.0,2023-07-22 00:42
2023-07-22 00:45:00+05:30,0.0,0.0,0.0,2023-07-22 01:06
2023-07-22 01:00:00+05:30,0.0,0.0,0.0,2023-07-22 01:12
2023-07-22 01:15:00+05:30,0.0,0.0,0.0,2023-07-22 01:36
2023-07-22 01:30:00+05:30,0.0,0.0,0.0,2023-07-22 01:42
2023-07-22 01:45:00+05:30,0.0,0.0,0.0,2023-07-22 02:06
2023-07-22 02:00:00+05:30,0.0,0.0,0.0,2023-07-22 02:12
2023-07-22 02:15:00+05:30,0.0,0.0,0.0,2023-07-22 02:36
2023-07-22 02:30:00+05:30,0.0,0.0,0.0,2023-07-22 02:42
2023-07-22 02:45:00+05:30,0.0,0.0,0.0,2023-07-22 03:06
2023-07-22 03:00:00+05:30,0.0,0.0,0.0,2023-07-22 03:12
2023-07-22 03:15:00+05:30,0.0,0.0,0.0,2023-07-22 03:36
2023-07-22 03:30:00+05:30,0.0,0.0,0.0,2023-07-22 03:42
2023-07-22 03:45:00+05:30,0.0,0.0,0.0,2023-07-22 04:06
2023-07-22 04:00:00+05:30,0.0,0.0,0.0,2023-07-22 04:12
2023-07-22 04:15:00+05:30,0.0,0.0,0.0,2023-07-22 04:36
2023-07-22 04:30:00+05:30,0.0,0.0,0.0,2023-07-22 04:42
2023-07-22 04:45:00+05:30,0.0,0.0,0.0,2023-07-22 05:06
2023-07-22 05:00:00+05:30,0.0,0.0,0.0,2023-07-22 05:12
2023-07-22 05:15:00+05:30,0.0,0.0,0.0,2023-07-22 05:36
2023-07-22 05:30:00+05:30,0.0,0.0,0.0,2023-07-22 05:54
2023-07-22 05:45:00+05:30,0.0,0.0,0.0,2023-07-22 06:06
2023-07-22 06:00:00+05:30,0.01,0.9,0.9,2023-07-22 06:12
2023-07-22 06:15:00+05:30,0.08,4.09,4.1,2023-07-22 06:36
2023-07-22 06:30:00+05:30,1.9,28.47,28.8,2023-07-22 06:42
2023-07-22 06:45:00+05:30,10.17,75.2,77.5,2023-07-22 07:06
2023-07-22 07:00:00+05:30,30.57,111.75,120.3,2023-07-22 07:12
2023-07-22 07:15:00+05:30,69.66,145.9,169.1,2023-07-22 07:36
2023-07-22 07:30:00+05:30,144.1,173.74,229.3,2023-07-22 07:42
2023-07-22 07:45:00+05:30,163.15,196.19,267.5,2023-07-22 08:06
2023-07-22 08:00:00+05:30,206.49,214.84,315.5,2023-07-22 08:12
2023-07-22 08:15:00+05:30,313.08,217.84,385.8,2023-07-22 08:36
2023-07-22 08:30:00+05:30,368.79,223.67,439.0,2023-07-22 08:42
2023-07-22 08:45:00+05:30,416.7,227.69,490.0,2023-07-22 09:06
2023-07-22 09:00:00+05:30,454.35,231.67,537.5,2023-07-22 09:12
2023-07-22 09:15:00+05:30,487.01,234.79,582.8,2023-07-22 09:36
2023-07-22 09:30:00+05:30,527.25,232.93,630.3,2023-07-22 09:42
2023-07-22 09:45:00+05:30,486.24,259.95,644.2,2023-07-22 10:06
2023-07-22 10:00:00+05:30,216.72,361.09,539.7,2023-07-22 10:12
2023-07-22 10:15:00+05:30,175.93,382.24,532.7,2023-07-22 10:36
2023-07-22 10:30:00+05:30,132.48,398.37,515.4,2023-07-22 10:42
2023-07-22 10:45:00+05:30,110.38,408.63,508.9,2023-07-22 11:06
2023-07-22 11:00:00+05:30,71.04,408.11,474.2,2023-07-22 11:12
2023-07-22 11:15:00+05:30,99.12,425.16,519.2,2023-07-22 11:36
2023-07-22 11:30:00+05:30,92.82,430.62,520.1,2023-07-22 11:42
2023-07-22 11:45:00+05:30,96.33,436.7,530.7,2023-07-22 12:02
2023-07-22 12:00:00+05:30,98.58,440.89,537.9,2023-07-22 12:12
2023-07-22 12:15:00+05:30,99.9,443.3,542.1,2023-07-22 12:36
2023-07-22 12:30:00+05:30,131.18,446.6,576.5,2023-07-22 12:42
2023-07-22 12:45:00+05:30,194.8,438.04,630.5,2023-07-22 13:06
2023-07-22 13:00:00+05:30,255.79,419.06,670.3,2023-07-22 13:12
2023-07-22 13:15:00+05:30,303.93,398.49,694.2,2023-07-22 13:36
2023-07-22 13:30:00+05:30,243.35,413.43,647.1,2023-07-22 13:42
2023-07-22 13:45:00+05:30,536.13,287.67,793.8,2023-07-22 14:06
2023-07-22 14:00:00+05:30,470.27,311.21,746.0,2023-07-22 14:12
2023-07-22 14:15:00+05:30,509.97,286.3,746.2,2023-07-22 14:36
2023-07-22 14:30:00+05:30,611.05,234.77,770.0,2023-07-22 14:42
2023-07-22 14:45:00+05:30,605.41,229.35,742.1,2023-07-22 15:06
2023-07-22 15:00:00+05:30,626.97,212.16,723.2,2023-07-22 15:12
2023-07-22 15:15:00+05:30,591.62,216.59,678.3,2023-07-22 15:34
